Sample	Engine	FDR	Accepted
MKK18	MYRIMATCH	0.272	3402
MKK18	MYRIMATCH	0.273	3412
MKK18	MYRIMATCH	0.274	3412
MKK18	MYRIMATCH	0.275	3413
MKK18	MYRIMATCH	0.276	3413
MKK18	MYRIMATCH	0.277	3413
MKK18	MYRIMATCH	0.278	3414
MKK18	MYRIMATCH	0.279	3414
MKK18	MYRIMATCH	0.28	3414
MKK18	MYRIMATCH	0.281	3414
MKK18	MYRIMATCH	0.282	3415
MKK18	MYRIMATCH	0.283	3415
MKK18	MYRIMATCH	0.284	3415
MKK18	MYRIMATCH	0.285	3415
MKK18	MYRIMATCH	0.286	3440
MKK18	MYRIMATCH	0.287	3440
MKK18	MYRIMATCH	0.288	3440
MKK18	MYRIMATCH	0.289	3440
MKK18	MYRIMATCH	0.29	3440
MKK18	MYRIMATCH	0.291	3441
MKK18	MYRIMATCH	0.292	3442
MKK18	MYRIMATCH	0.293	3442
MKK18	MYRIMATCH	0.294	3442
MKK18	MYRIMATCH	0.295	3444
MKK18	MYRIMATCH	0.296	3444
MKK18	MYRIMATCH	0.297	3444
MKK18	MYRIMATCH	0.298	3444
MKK18	MYRIMATCH	0.299	3444
MKK18	MYRIMATCH	0.3	3454
MKK18	MYRIMATCH	0.301	3454
MKK18	MYRIMATCH	0.302	3454
MKK18	MYRIMATCH	0.303	3454
MKK18	MYRIMATCH	0.304	3454
MKK18	MYRIMATCH	0.305	3454
MKK18	MYRIMATCH	0.306	3454
MKK18	MYRIMATCH	0.307	3454
MKK18	MYRIMATCH	0.308	3460
MKK18	MYRIMATCH	0.309	3460
MKK18	MYRIMATCH	0.31	3460
MKK18	MYRIMATCH	0.311	3460
MKK18	MYRIMATCH	0.312	3460
MKK18	MYRIMATCH	0.313	3462
MKK18	MYRIMATCH	0.314	3462
MKK18	MYRIMATCH	0.315	3462
MKK18	MYRIMATCH	0.316	3465
MKK18	MYRIMATCH	0.317	3465
MKK18	MYRIMATCH	0.318	3465
MKK18	MYRIMATCH	0.319	3465
MKK18	MYRIMATCH	0.32	3466
MKK18	MYRIMATCH	0.321	3466
MKK18	MYRIMATCH	0.322	3466
MKK18	MYRIMATCH	0.323	3466
MKK18	MYRIMATCH	0.324	3466
MKK18	MYRIMATCH	0.325	3466
MKK18	MYRIMATCH	0.326	3466
MKK18	MYRIMATCH	0.327	3466
MKK18	MYRIMATCH	0.328	3466
MKK18	MYRIMATCH	0.329	3466
MKK18	MYRIMATCH	0.33	3466
MKK18	MYRIMATCH	0.331	3466
MKK18	MYRIMATCH	0.332	3466
MKK18	MYRIMATCH	0.333	3466
MKK18	MYRIMATCH	0.334	3633
MKK18	MYRIMATCH	0.335	3633
MKK18	MYRIMATCH	0.336	3633
MKK18	MYRIMATCH	0.337	3634
MKK18	MYRIMATCH	0.338	3634
MKK18	MYRIMATCH	0.339	3634
MKK18	MYRIMATCH	0.34	3634
MKK18	MYRIMATCH	0.341	3634
MKK18	MYRIMATCH	0.342	3634
MKK18	MYRIMATCH	0.343	3634
MKK18	MYRIMATCH	0.344	3634
MKK18	MYRIMATCH	0.345	3634
MKK18	MYRIMATCH	0.346	3634
MKK18	MYRIMATCH	0.347	3635
MKK18	MYRIMATCH	0.348	3636
MKK18	MYRIMATCH	0.349	3636
MKK18	MYRIMATCH	0.35	3636
MKK18	MYRIMATCH	0.351	3636
MKK18	MYRIMATCH	0.352	3636
MKK18	MYRIMATCH	0.353	3640
MKK18	MYRIMATCH	0.354	3640
MKK18	MYRIMATCH	0.355	3641
MKK18	MYRIMATCH	0.356	3641
MKK18	MYRIMATCH	0.357	3641
MKK18	MYRIMATCH	0.358	3646
MKK18	MYRIMATCH	0.359	3647
MKK18	MYRIMATCH	0.36	3648
MKK18	MYRIMATCH	0.361	3648
MKK18	MYRIMATCH	0.362	3648
MKK18	MYRIMATCH	0.363	3648
MKK18	MYRIMATCH	0.364	3652
MKK18	MYRIMATCH	0.365	3652
MKK18	MYRIMATCH	0.366	3652
MKK18	MYRIMATCH	0.367	3652
MKK18	MYRIMATCH	0.368	3652
MKK18	MYRIMATCH	0.369	3656
MKK18	MYRIMATCH	0.37	3656
MKK18	MYRIMATCH	0.371	3657
MKK18	MYRIMATCH	0.372	3658
MKK18	MYRIMATCH	0.373	3658
MKK18	MYRIMATCH	0.374	3658
MKK18	MYRIMATCH	0.375	3672
MKK18	MYRIMATCH	0.376	3672
MKK18	MYRIMATCH	0.377	3672
MKK18	MYRIMATCH	0.378	3672
MKK18	MYRIMATCH	0.379	3672
MKK18	MYRIMATCH	0.38	3673
MKK18	MYRIMATCH	0.381	3675
MKK18	MYRIMATCH	0.382	3675
MKK18	MYRIMATCH	0.383	3675
MKK18	MYRIMATCH	0.384	3675
MKK18	MYRIMATCH	0.385	3682
MKK18	MYRIMATCH	0.386	3682
MKK18	MYRIMATCH	0.387	3682
MKK18	MYRIMATCH	0.388	3682
MKK18	MYRIMATCH	0.389	3684
MKK18	MYRIMATCH	0.39	3684
MKK18	MYRIMATCH	0.391	3684
MKK18	MYRIMATCH	0.392	3686
MKK18	MYRIMATCH	0.393	3686
MKK18	MYRIMATCH	0.394	3686
MKK18	MYRIMATCH	0.395	3686
MKK18	MYRIMATCH	0.396	3686
MKK18	MYRIMATCH	0.397	3686
MKK18	MYRIMATCH	0.398	3686
MKK18	MYRIMATCH	0.399	3686
MKK18	MYRIMATCH	0.4	3742
MKK18	MYRIMATCH	0.401	3742
MKK18	MYRIMATCH	0.402	3742
MKK18	MYRIMATCH	0.403	3742
MKK18	MYRIMATCH	0.404	3742
MKK18	MYRIMATCH	0.405	3742
MKK18	MYRIMATCH	0.406	3742
MKK18	MYRIMATCH	0.407	3743
MKK18	MYRIMATCH	0.408	3743
MKK18	MYRIMATCH	0.409	3743
MKK18	MYRIMATCH	0.41	3746
MKK18	MYRIMATCH	0.411	3746
MKK18	MYRIMATCH	0.412	3748
MKK18	MYRIMATCH	0.413	3748
MKK18	MYRIMATCH	0.414	3749
MKK18	MYRIMATCH	0.415	3749
MKK18	MYRIMATCH	0.416	3749
MKK18	MYRIMATCH	0.417	3760
MKK18	MYRIMATCH	0.418	3760
MKK18	MYRIMATCH	0.419	3760
MKK18	MYRIMATCH	0.42	3760
MKK18	MYRIMATCH	0.421	3760
MKK18	MYRIMATCH	0.422	3763
MKK18	MYRIMATCH	0.423	3763
MKK18	MYRIMATCH	0.424	3765
MKK18	MYRIMATCH	0.425	3765
MKK18	MYRIMATCH	0.426	3765
MKK18	MYRIMATCH	0.427	3765
MKK18	MYRIMATCH	0.428	3765
MKK18	MYRIMATCH	0.429	3785
MKK18	MYRIMATCH	0.43	3785
MKK18	MYRIMATCH	0.431	3785
MKK18	MYRIMATCH	0.432	3785
MKK18	MYRIMATCH	0.433	3785
MKK18	MYRIMATCH	0.434	3786
MKK18	MYRIMATCH	0.435	3788
MKK18	MYRIMATCH	0.436	3788
MKK18	MYRIMATCH	0.437	3788
MKK18	MYRIMATCH	0.438	3792
MKK18	MYRIMATCH	0.439	3792
MKK18	MYRIMATCH	0.44	3792
