Sample	Engine	FDR	Accepted
MK13	COMET	0.185	4178
MK13	COMET	0.186	4178
MK13	COMET	0.187	4178
MK13	COMET	0.188	4186
MK13	COMET	0.189	4186
MK13	COMET	0.19	4186
MK13	COMET	0.191	4189
MK13	COMET	0.192	4190
MK13	COMET	0.193	4193
MK13	COMET	0.194	4193
MK13	COMET	0.195	4193
MK13	COMET	0.196	4193
MK13	COMET	0.197	4193
MK13	COMET	0.198	4193
MK13	COMET	0.199	4193
MK13	COMET	0.2	4428
MK13	COMET	0.201	4428
MK13	COMET	0.202	4428
MK13	COMET	0.203	4428
MK13	COMET	0.204	4428
MK13	COMET	0.205	4428
MK13	COMET	0.206	4428
MK13	COMET	0.207	4429
MK13	COMET	0.208	4429
MK13	COMET	0.209	4433
MK13	COMET	0.21	4433
MK13	COMET	0.211	4441
MK13	COMET	0.212	4441
MK13	COMET	0.213	4444
MK13	COMET	0.214	4444
MK13	COMET	0.215	4463
MK13	COMET	0.216	4463
MK13	COMET	0.217	4463
MK13	COMET	0.218	4467
MK13	COMET	0.219	4467
MK13	COMET	0.22	4467
MK13	COMET	0.221	4467
MK13	COMET	0.222	4467
MK13	COMET	0.223	4543
MK13	COMET	0.224	4543
MK13	COMET	0.225	4543
MK13	COMET	0.226	4547
MK13	COMET	0.227	4547
MK13	COMET	0.228	4549
MK13	COMET	0.229	4549
MK13	COMET	0.23	4549
MK13	COMET	0.231	4573
MK13	COMET	0.232	4573
MK13	COMET	0.233	4574
MK13	COMET	0.234	4575
MK13	COMET	0.235	4575
MK13	COMET	0.236	4579
MK13	COMET	0.237	4580
MK13	COMET	0.238	4580
MK13	COMET	0.239	4588
MK13	COMET	0.24	4589
MK13	COMET	0.241	4589
MK13	COMET	0.242	4589
MK13	COMET	0.243	4589
MK13	COMET	0.244	4590
MK13	COMET	0.245	4591
MK13	COMET	0.246	4591
MK13	COMET	0.247	4591
MK13	COMET	0.248	4591
MK13	COMET	0.249	4591
MK13	COMET	0.25	5042
MK13	COMET	0.251	5042
MK13	COMET	0.252	5042
MK13	COMET	0.253	5042
MK13	COMET	0.254	5042
MK13	COMET	0.255	5043
MK13	COMET	0.256	5044
MK13	COMET	0.257	5045
MK13	COMET	0.258	5046
MK13	COMET	0.259	5048
MK13	COMET	0.26	5049
MK13	COMET	0.261	5056
MK13	COMET	0.262	5057
MK13	COMET	0.263	5057
MK13	COMET	0.264	5066
MK13	COMET	0.265	5067
MK13	COMET	0.266	5067
MK13	COMET	0.267	5081
MK13	COMET	0.268	5082
MK13	COMET	0.269	5082
MK13	COMET	0.27	5085
MK13	COMET	0.271	5085
MK13	COMET	0.272	5085
MK13	COMET	0.273	5128
MK13	COMET	0.274	5128
MK13	COMET	0.275	5129
MK13	COMET	0.276	5129
MK13	COMET	0.277	5129
MK13	COMET	0.278	5140
MK13	COMET	0.279	5140
MK13	COMET	0.28	5144
MK13	COMET	0.281	5144
MK13	COMET	0.282	5145
MK13	COMET	0.283	5146
MK13	COMET	0.284	5146
MK13	COMET	0.285	5146
MK13	COMET	0.286	5265
MK13	COMET	0.287	5265
MK13	COMET	0.288	5265
MK13	COMET	0.289	5266
MK13	COMET	0.29	5266
MK13	COMET	0.291	5266
MK13	COMET	0.292	5269
MK13	COMET	0.293	5269
MK13	COMET	0.294	5269
MK13	COMET	0.295	5277
MK13	COMET	0.296	5277
MK13	COMET	0.297	5279
MK13	COMET	0.298	5281
MK13	COMET	0.299	5281
MK13	COMET	0.3	5350
MK13	COMET	0.301	5350
MK13	COMET	0.302	5350
MK13	COMET	0.303	5350
MK13	COMET	0.304	5353
MK13	COMET	0.305	5357
MK13	COMET	0.306	5357
MK13	COMET	0.307	5357
MK13	COMET	0.308	5379
MK13	COMET	0.309	5379
MK13	COMET	0.31	5379
MK13	COMET	0.311	5381
MK13	COMET	0.312	5381
MK13	COMET	0.313	5392
MK13	COMET	0.314	5393
MK13	COMET	0.315	5394
MK13	COMET	0.316	5402
MK13	COMET	0.317	5402
MK13	COMET	0.318	5402
MK13	COMET	0.319	5407
MK13	COMET	0.32	5411
MK13	COMET	0.321	5411
MK13	COMET	0.322	5413
MK13	COMET	0.323	5416
MK13	COMET	0.324	5417
MK13	COMET	0.325	5418
MK13	COMET	0.326	5418
MK13	COMET	0.327	5418
MK13	COMET	0.328	5418
MK13	COMET	0.329	5418
MK13	COMET	0.33	5418
MK13	COMET	0.331	5418
MK13	COMET	0.332	5418
MK13	COMET	0.333	5418
MK13	COMET	0.334	6125
MK13	COMET	0.335	6125
MK13	COMET	0.336	6125
MK13	COMET	0.337	6125
MK13	COMET	0.338	6125
MK13	COMET	0.339	6125
MK13	COMET	0.34	6125
MK13	COMET	0.341	6125
MK13	COMET	0.342	6125
MK13	COMET	0.343	6127
MK13	COMET	0.344	6128
MK13	COMET	0.345	6131
MK13	COMET	0.346	6131
MK13	COMET	0.347	6132
MK13	COMET	0.348	6136
MK13	COMET	0.349	6137
MK13	COMET	0.35	6145
MK13	COMET	0.351	6145
MK13	COMET	0.352	6145
MK13	COMET	0.353	6149
MK13	COMET	0.354	6149
MK13	COMET	0.355	6153
MK13	COMET	0.356	6153
MK13	COMET	0.357	6153
MK13	COMET	0.358	6180
MK13	COMET	0.359	6180
MK13	COMET	0.36	6184
MK13	COMET	0.361	6184
MK13	COMET	0.362	6184
MK13	COMET	0.363	6184
MK13	COMET	0.364	6228
MK13	COMET	0.365	6228
MK13	COMET	0.366	6229
MK13	COMET	0.367	6230
MK13	COMET	0.368	6232
MK13	COMET	0.369	6239
MK13	COMET	0.37	6239
MK13	COMET	0.371	6245
MK13	COMET	0.372	6245
MK13	COMET	0.373	6246
MK13	COMET	0.374	6246
MK13	COMET	0.375	6350
MK13	COMET	0.376	6350
MK13	COMET	0.377	6350
MK13	COMET	0.378	6350
MK13	COMET	0.379	6350
MK13	COMET	0.38	6352
MK13	COMET	0.381	6357
MK13	COMET	0.382	6357
MK13	COMET	0.383	6358
MK13	COMET	0.384	6358
MK13	COMET	0.385	6385
MK13	COMET	0.386	6385
MK13	COMET	0.387	6385
MK13	COMET	0.388	6386
MK13	COMET	0.389	6394
MK13	COMET	0.39	6395
MK13	COMET	0.391	6396
MK13	COMET	0.392	6400
MK13	COMET	0.393	6402
MK13	COMET	0.394	6404
MK13	COMET	0.395	6404
MK13	COMET	0.396	6404
MK13	COMET	0.397	6404
MK13	COMET	0.398	6404
MK13	COMET	0.399	6404
MK13	COMET	0.4	6693
MK13	COMET	0.401	6693
MK13	COMET	0.402	6693
MK13	COMET	0.403	6694
MK13	COMET	0.404	6694
MK13	COMET	0.405	6694
MK13	COMET	0.406	6694
MK13	COMET	0.407	6695
MK13	COMET	0.408	6700
MK13	COMET	0.409	6700
MK13	COMET	0.41	6706
MK13	COMET	0.411	6706
MK13	COMET	0.412	6717
MK13	COMET	0.413	6717
MK13	COMET	0.414	6718
MK13	COMET	0.415	6719
MK13	COMET	0.416	6719
MK13	COMET	0.417	6755
MK13	COMET	0.418	6755
MK13	COMET	0.419	6756
MK13	COMET	0.42	6758
MK13	COMET	0.421	6758
MK13	COMET	0.422	6769
MK13	COMET	0.423	6769
MK13	COMET	0.424	6771
MK13	COMET	0.425	6771
MK13	COMET	0.426	6771
MK13	COMET	0.427	6771
MK13	COMET	0.428	6771
MK13	COMET	0.429	6913
MK13	COMET	0.43	6913
MK13	COMET	0.431	6913
MK13	COMET	0.432	6914
MK13	COMET	0.433	6915
MK13	COMET	0.434	6919
MK13	COMET	0.435	6926
MK13	COMET	0.436	6928
MK13	COMET	0.437	6928
MK13	COMET	0.438	6938
MK13	COMET	0.439	6938
MK13	COMET	0.44	6942
MK13	COMET	0.441	6942
MK13	COMET	0.442	6943
MK13	COMET	0.443	6943
MK13	COMET	0.444	6943
MK13	COMET	0.445	7027
MK13	COMET	0.446	7027
MK13	COMET	0.447	7028
MK13	COMET	0.448	7028
MK13	COMET	0.449	7029
MK13	COMET	0.45	7033
MK13	COMET	0.451	7034
MK13	COMET	0.452	7039
MK13	COMET	0.453	7039
MK13	COMET	0.454	7039
MK13	COMET	0.455	7081
MK13	COMET	0.456	7081
MK13	COMET	0.457	7083
MK13	COMET	0.458	7084
MK13	COMET	0.459	7088
MK13	COMET	0.46	7088
MK13	COMET	0.461	7088
MK13	COMET	0.462	7124
MK13	COMET	0.463	7124
MK13	COMET	0.464	7125
MK13	COMET	0.465	7125
MK13	COMET	0.466	7125
MK13	COMET	0.467	7143
MK13	COMET	0.468	7143
MK13	COMET	0.469	7145
MK13	COMET	0.47	7145
MK13	COMET	0.471	7163
MK13	COMET	0.472	7163
MK13	COMET	0.473	7163
MK13	COMET	0.474	7169
MK13	COMET	0.475	7170
MK13	COMET	0.476	7170
MK13	COMET	0.477	7176
MK13	COMET	0.478	7176
MK13	COMET	0.479	7179
MK13	COMET	0.48	7180
MK13	COMET	0.481	7180
MK13	COMET	0.482	7181
MK13	COMET	0.483	7182
MK13	COMET	0.484	7184
MK13	COMET	0.485	7185
MK13	COMET	0.486	7186
MK13	COMET	0.487	7187
MK13	COMET	0.488	7188
MK13	COMET	0.489	7188
MK13	COMET	0.49	7188
MK13	COMET	0.491	7188
MK13	COMET	0.492	7188
MK13	COMET	0.493	7188
MK13	COMET	0.494	7189
MK13	COMET	0.495	7190
MK13	COMET	0.496	7191
MK13	COMET	0.497	7191
MK13	COMET	0.498	7191
MK13	COMET	0.499	7191
MK13	COMET	0.5	8650
MK13	COMET	0.501	8650
MK13	COMET	0.502	8650
MK13	COMET	0.503	8650
MK13	COMET	0.504	8650
MK13	COMET	0.505	8650
MK13	COMET	0.506	8650
MK13	COMET	0.507	8650
MK13	COMET	0.508	8650
MK13	COMET	0.509	8651
MK13	COMET	0.51	8652
MK13	COMET	0.511	8652
MK13	COMET	0.512	8652
MK13	COMET	0.513	8653
MK13	COMET	0.514	8656
MK13	COMET	0.515	8658
MK13	COMET	0.516	8659
MK13	COMET	0.517	8661
MK13	COMET	0.518	8663
MK13	COMET	0.519	8668
MK13	COMET	0.52	8672
MK13	COMET	0.521	8672
MK13	COMET	0.522	8677
MK13	COMET	0.523	8677
MK13	COMET	0.524	8683
MK13	COMET	0.525	8684
MK13	COMET	0.526	8684
MK13	COMET	0.527	8693
MK13	COMET	0.528	8694
MK13	COMET	0.529	8694
MK13	COMET	0.53	8706
MK13	COMET	0.531	8706
MK13	COMET	0.532	8707
MK13	COMET	0.533	8707
MK13	COMET	0.534	8716
MK13	COMET	0.535	8716
MK13	COMET	0.536	8719
MK13	COMET	0.537	8720
MK13	COMET	0.538	8720
MK13	COMET	0.539	8742
MK13	COMET	0.54	8742
MK13	COMET	0.541	8743
MK13	COMET	0.542	8748
MK13	COMET	0.543	8748
MK13	COMET	0.544	8748
MK13	COMET	0.545	8748
MK13	COMET	0.546	8790
MK13	COMET	0.547	8790
MK13	COMET	0.548	8791
MK13	COMET	0.549	8792
MK13	COMET	0.55	8798
MK13	COMET	0.551	8798
MK13	COMET	0.552	8799
MK13	COMET	0.553	8799
MK13	COMET	0.554	8800
MK13	COMET	0.555	8800
MK13	COMET	0.556	8873
MK13	COMET	0.557	8874
MK13	COMET	0.558	8875
MK13	COMET	0.559	8875
MK13	COMET	0.56	8877
MK13	COMET	0.561	8877
MK13	COMET	0.562	8877
MK13	COMET	0.563	8892
MK13	COMET	0.564	8893
MK13	COMET	0.565	8894
MK13	COMET	0.566	8896
MK13	COMET	0.567	8898
MK13	COMET	0.568	8900
MK13	COMET	0.569	8900
MK13	COMET	0.57	8901
MK13	COMET	0.571	8901
MK13	COMET	0.572	9018
MK13	COMET	0.573	9018
MK13	COMET	0.574	9018
MK13	COMET	0.575	9018
MK13	COMET	0.576	9018
MK13	COMET	0.577	9020
MK13	COMET	0.578	9022
MK13	COMET	0.579	9030
MK13	COMET	0.58	9032
MK13	COMET	0.581	9035
MK13	COMET	0.582	9035
MK13	COMET	0.583	9035
MK13	COMET	0.584	9068
MK13	COMET	0.585	9068
MK13	COMET	0.586	9070
MK13	COMET	0.587	9071
MK13	COMET	0.588	9071
MK13	COMET	0.589	9082
MK13	COMET	0.59	9083
MK13	COMET	0.591	9091
MK13	COMET	0.592	9091
MK13	COMET	0.593	9093
MK13	COMET	0.594	9093
MK13	COMET	0.595	9093
MK13	COMET	0.596	9095
MK13	COMET	0.597	9096
MK13	COMET	0.598	9096
MK13	COMET	0.599	9096
MK13	COMET	0.6	9378
MK13	COMET	0.601	9378
MK13	COMET	0.602	9378
MK13	COMET	0.603	9379
MK13	COMET	0.604	9379
MK13	COMET	0.605	9379
MK13	COMET	0.606	9379
MK13	COMET	0.607	9381
MK13	COMET	0.608	9382
MK13	COMET	0.609	9383
MK13	COMET	0.61	9385
MK13	COMET	0.611	9385
MK13	COMET	0.612	9394
MK13	COMET	0.613	9397
MK13	COMET	0.614	9397
MK13	COMET	0.615	9397
MK13	COMET	0.616	9428
MK13	COMET	0.617	9428
MK13	COMET	0.618	9432
MK13	COMET	0.619	9432
MK13	COMET	0.62	9435
MK13	COMET	0.621	9436
MK13	COMET	0.622	9436
MK13	COMET	0.623	9436
MK13	COMET	0.624	9436
MK13	COMET	0.625	9548
MK13	COMET	0.626	9548
MK13	COMET	0.627	9549
MK13	COMET	0.628	9550
MK13	COMET	0.629	9551
MK13	COMET	0.63	9553
MK13	COMET	0.631	9553
MK13	COMET	0.632	9563
MK13	COMET	0.633	9563
MK13	COMET	0.634	9564
MK13	COMET	0.635	9565
MK13	COMET	0.636	9565
MK13	COMET	0.637	9618
MK13	COMET	0.638	9618
MK13	COMET	0.639	9618
MK13	COMET	0.64	9621
MK13	COMET	0.641	9621
MK13	COMET	0.642	9623
MK13	COMET	0.643	9642
MK13	COMET	0.644	9642
MK13	COMET	0.645	9642
MK13	COMET	0.646	9643
MK13	COMET	0.647	9643
MK13	COMET	0.648	9659
MK13	COMET	0.649	9659
MK13	COMET	0.65	9662
MK13	COMET	0.651	9662
MK13	COMET	0.652	9662
MK13	COMET	0.653	9667
MK13	COMET	0.654	9672
MK13	COMET	0.655	9672
MK13	COMET	0.656	9674
MK13	COMET	0.657	9675
MK13	COMET	0.658	9676
MK13	COMET	0.659	9676
MK13	COMET	0.66	9678
MK13	COMET	0.661	9678
MK13	COMET	0.662	9678
MK13	COMET	0.663	9678
MK13	COMET	0.664	9679
MK13	COMET	0.665	9679
MK13	COMET	0.666	9679
MK13	COMET	0.667	10439
MK13	COMET	0.668	10439
MK13	COMET	0.669	10439
MK13	COMET	0.67	10439
MK13	COMET	0.671	10440
MK13	COMET	0.672	10441
MK13	COMET	0.673	10442
MK13	COMET	0.674	10443
MK13	COMET	0.675	10444
MK13	COMET	0.676	10447
MK13	COMET	0.677	10447
MK13	COMET	0.678	10447
MK13	COMET	0.679	10450
MK13	COMET	0.68	10451
MK13	COMET	0.681	10451
MK13	COMET	0.682	10456
MK13	COMET	0.683	10456
MK13	COMET	0.684	10456
MK13	COMET	0.685	10464
MK13	COMET	0.686	10465
MK13	COMET	0.687	10465
MK13	COMET	0.688	10487
MK13	COMET	0.689	10488
MK13	COMET	0.69	10489
MK13	COMET	0.691	10489
MK13	COMET	0.692	10489
MK13	COMET	0.693	10514
MK13	COMET	0.694	10514
MK13	COMET	0.695	10515
MK13	COMET	0.696	10518
MK13	COMET	0.697	10519
MK13	COMET	0.698	10519
MK13	COMET	0.699	10519
MK13	COMET	0.7	10568
MK13	COMET	0.701	10568
MK13	COMET	0.702	10570
MK13	COMET	0.703	10571
MK13	COMET	0.704	10575
MK13	COMET	0.705	10576
MK13	COMET	0.706	10582
MK13	COMET	0.707	10582
MK13	COMET	0.708	10582
MK13	COMET	0.709	10586
MK13	COMET	0.71	10586
MK13	COMET	0.711	10587
MK13	COMET	0.712	10587
MK13	COMET	0.713	10587
